name, loc, std_item_detection, extraction, verification, vcs, total,
trait_bounds*,      106, 161131, 727, 6297262, 14, 6552496,
type_class*,       83, 201874, 731, 30645643, 28, 30947648,
trait_bounds*,      106, 188667, 749, 6691591, 14, 6975276,
type_class*,       83, 186212, 849, 28952573, 28, 29215582,
trait_bounds*,      106, 164027, 727, 6035751, 14, 6292842,
type_class*,       83, 170160, 724, 28777104, 28, 29024580,
trait_bounds*,      106, 167015, 700, 6102475, 14, 6360032,
type_class*,       83, 198509, 860, 28393694, 28, 28672397,
trait_bounds*,      106, 190876, 1028, 6142902, 14, 6421650,
type_class*,       83, 167961, 760, 28365045, 28, 28608703,
mut_ref_borrow_12,       51, 252976, 961, 6880894, 42, 7691210,
mut_ref_borrow_12,       51, 160656, 644, 5616374, 42, 5848417,
mut_ref_borrow_12,       51, 161209, 683, 5746069, 42, 5988050,
mut_ref_borrow_12,       51, 162459, 663, 5606401, 42, 5838301,
mut_ref_borrow_12,       51, 165521, 654, 5630891, 42, 5867402,
