name, loc, std_item_detection, extraction, verification, vcs, total,
adt_use_before_declare,       13, 170334, 267, 3308168, 0, 3522711,
adts,       90, 167164, 483, 4103347, 5, 4321481,
blocks,       27, 175037, 278, 4281927, 2, 4490388,
boxes,        9, 165894, 220, 3635307, 1, 3861974,
cast_correctness,       43, 175482, 611, 7329496, 17, 7596153,
clone,       35, 158644, 435, 3619407, 1, 3847452,
double_ref_param,       24, 165194, 380, 3842000, 5, 4057626,
external_fn,       22, 177542, 340, 3747780, 2, 3960858,
fact,       14, 176228, 266, 4442278, 3, 4652916,
fn_ref_param,       24, 170673, 340, 3875007, 5, 4098133,
generic_id,        9, 180696, 236, 3160194, 0, 3365065,
generic_option,       37, 177733, 413, 4029832, 10, 4242352,
generic_result,       31, 169785, 444, 4756307, 6, 4980906,
impl_fns,       37, 175224, 419, 3953769, 5, 4192949,
implies,        9, 180632, 242, 3489112, 1, 3701015,
insertion_sort,      111, 157020, 813, 5979766, 44, 6255479,
int_operators,      189, 179182, 823, 10285380, 70, 10539709,
int_option,       30, 167170, 332, 3736717, 1, 3954537,
let_type,       19, 162054, 299, 3749640, 2, 3972715,
list_binary_search,       93, 165291, 742, 7363151, 23, 7627864,
map_ops,       40, 160353, 518, 5181517, 31, 5448076,
monoid,       49, 191391, 437, 6947632, 9, 7175249,
mut_clone,       11, 170662, 262, 3735811, 1, 3983470,
mut_local_fields,       55, 191138, 424, 4618711, 6, 4847778,
mut_local_lets,       29, 183954, 411, 4591346, 2, 4856387,
mut_local_params,       26, 247684, 579, 4605132, 4, 4914886,
mut_params,        8, 196601, 248, 3680263, 0, 3903814,
mut_ref_borrow_0,       11, 204271, 241, 3930127, 2, 4183168,
mut_ref_borrow_1,       12, 187984, 275, 3924771, 1, 4167882,
mut_ref_borrow_10,       10, 181859, 304, 4041001, 3, 4270837,
mut_ref_borrow_11,       16, 185283, 382, 4168356, 3, 4401990,
mut_ref_borrow_12,       51, 172089, 636, 5206201, 42, 5452140,
mut_ref_borrow_2,       13, 193423, 278, 3909309, 1, 4158771,
mut_ref_borrow_3,       14, 180621, 317, 3906183, 1, 4144320,
mut_ref_borrow_5,       23, 189622, 355, 4540716, 3, 4793344,
mut_ref_borrow_6,       26, 210227, 403, 4123926, 0, 4388955,
mut_ref_borrow_7,       31, 206792, 518, 5229519, 3, 5509033,
mut_ref_borrow_8,       18, 252542, 475, 5942229, 4, 6252363,
mut_ref_borrow_9,       17, 274418, 523, 4830579, 4, 5160126,
mut_ref_clone,       12, 188994, 280, 4066411, 1, 4334475,
mut_ref_immut_borrow,       33, 191496, 340, 4320468, 5, 4570726,
mut_ref_tuple,        9, 191906, 246, 3987976, 1, 4226172,
mut_return,       51, 175605, 628, 6312553, 15, 6560729,
mut_tuple,        8, 210084, 243, 3929987, 1, 4170687,
nested_spec,       16, 203924, 305, 5052440, 2, 5292643,
nested_spec_impl,       20, 256010, 374, 4182187, 2, 4506017,
panic_type,       33, 182621, 455, 4875811, 15, 5147012,
phantom_data,       22, 183721, 326, 4025326, 2, 4280602,
return_stmt,       65, 188743, 549, 6783936, 19, 7051389,
set_ops,       20, 163403, 287, 3639189, 2, 3889834,
spec_on_trait_impl,       15, 220405, 307, 4372458, 1, 4631322,
strings,       39, 187007, 456, 4198069, 4, 4441673,
struct_update,       23, 201387, 294, 4122251, 1, 4362296,
tuple_match,       12, 195391, 256, 4144860, 2, 4388470,
tuple_result,        9, 181995, 321, 4108467, 4, 4335787,
tuples,       44, 193434, 396, 4377776, 5, 4630886,
type_class_call_specs,       18, 194634, 312, 3982379, 2, 4211102,
type_class_multi_lookup,       59, 196260, 571, 5695966, 8, 5956204,
type_class_specs,       28, 214444, 411, 4993703, 5, 5249428,
type_class_without_evidence,       27, 191245, 357, 4864147, 2, 5113074,
use_local,       19, 208348, 522, 5383238, 6, 5639564,
use_std,        9, 200033, 195, 3341466, 0, 3566831,
