name, loc, std_item_detection, extraction, verification, vcs, total,
adt_use_before_declare,       13, 180801, 224, 3549253, 0, 3779993,
adts,       90, 182021, 477, 4387992, 5, 4624589,
blocks,       27, 200113, 294, 4771298, 2, 5009481,
boxes,        9, 194201, 286, 3753696, 1, 4018940,
cast_correctness,       43, 223221, 568, 9131907, 17, 9471989,
clone,       35, 259830, 386, 6519854, 1, 6892656,
double_ref_param,       24, 229650, 394, 6361996, 5, 6660660,
external_fn,       22, 245893, 381, 4676971, 2, 4969779,
fact,       14, 234368, 304, 6170040, 3, 6451263,
fn_ref_param,       24, 232456, 462, 6371968, 5, 6680292,
generic_id,        9, 473016, 421, 4478979, 0, 4998056,
generic_option,       37, 250026, 495, 5294090, 10, 5582786,
generic_result,       31, 228151, 448, 6145973, 6, 6449001,
impl_fns,       37, 213100, 481, 5154152, 5, 5447419,
implies,        9, 240564, 279, 4655705, 1, 4937235,
insertion_sort,      111, 237980, 1028, 8739914, 44, 9148710,
int_operators,      189, 243956, 1041, 12265033, 70, 12606408,
int_option,       30, 219644, 375, 4650628, 1, 4932506,
let_type,       19, 222594, 405, 4853663, 2, 5161456,
list_binary_search,       93, 215239, 839, 8960475, 23, 9302958,
map_ops,       40, 210636, 716, 6530333, 31, 6872404,
monoid,       49, 304218, 523, 7715545, 9, 8071148,
mut_clone,       11, 183617, 273, 4014745, 1, 4280409,
mut_local_fields,       55, 204599, 619, 4579549, 6, 4821604,
mut_local_lets,       29, 189234, 448, 4224309, 2, 4489218,
mut_local_params,       26, 201014, 414, 4062378, 4, 4315892,
mut_params,        8, 200529, 241, 3527448, 0, 3754670,
mut_ref_borrow_0,       11, 194267, 237, 3835582, 2, 4073656,
mut_ref_borrow_1,       12, 187498, 271, 3839751, 1, 4083369,
mut_ref_borrow_10,       10, 180009, 311, 4022402, 3, 4247520,
mut_ref_borrow_11,       16, 183462, 353, 4110458, 3, 4342841,
mut_ref_borrow_12,       51, 173361, 627, 5099548, 42, 5345733,
mut_ref_borrow_2,       13, 187072, 272, 3867909, 1, 4109672,
mut_ref_borrow_3,       14, 179814, 310, 4039558, 1, 4273674,
mut_ref_borrow_5,       23, 196025, 577, 4297637, 3, 4559385,
mut_ref_borrow_6,       26, 184674, 367, 3586296, 0, 3815960,
mut_ref_borrow_7,       31, 185726, 455, 4284744, 3, 4534483,
mut_ref_borrow_8,       18, 191746, 325, 4060166, 4, 4297930,
mut_ref_borrow_9,       17, 194726, 295, 4067227, 4, 4306003,
mut_ref_clone,       12, 172666, 279, 3826779, 1, 4073173,
mut_ref_immut_borrow,       33, 190501, 321, 4317388, 5, 4563081,
mut_ref_tuple,        9, 200475, 251, 3993407, 1, 4241364,
mut_return,       51, 186254, 819, 7550709, 15, 7812129,
mut_tuple,        8, 211956, 283, 4238031, 1, 4480388,
nested_spec,       16, 207314, 289, 3904604, 2, 4151218,
nested_spec_impl,       20, 187362, 341, 3897895, 2, 4148599,
panic_type,       33, 187079, 506, 4744553, 15, 5015571,
phantom_data,       22, 174984, 424, 3961533, 2, 4202740,
return_stmt,       65, 183660, 504, 6690128, 19, 6951719,
set_ops,       20, 171739, 308, 3675370, 2, 3932970,
spec_on_trait_impl,       15, 205737, 344, 4066067, 1, 4303049,
strings,       39, 192392, 549, 4099364, 4, 4348972,
struct_update,       23, 200482, 294, 4173042, 1, 4410669,
tuple_match,       12, 189388, 273, 3995858, 2, 4232700,
tuple_result,        9, 186144, 333, 4162174, 4, 4393857,
tuples,       44, 205897, 416, 4510147, 5, 4776887,
type_class_call_specs,       18, 183807, 339, 3906111, 2, 4122316,
type_class_multi_lookup,       59, 184838, 548, 5487911, 8, 5734289,
type_class_specs,       28, 208195, 419, 4857734, 5, 5110122,
type_class_without_evidence,       27, 189727, 350, 4774294, 2, 5018502,
use_local,       19, 203466, 511, 5253827, 6, 5504374,
use_std,        9, 196060, 194, 3252139, 0, 3474749,
