name, loc, std_item_detection, translation, verification, vcs, total,
trait_bounds*,      106, 155040, 704, 6034230, 14, 6273804,
type_class*,       83, 153612, 740, 11538226, 28, 11763115,
trait_bounds*,      106, 162256, 676, 6150440, 14, 6396460,
type_class*,       83, 155971, 737, 11715220, 28, 11946347,
trait_bounds*,      106, 161313, 725, 6149674, 14, 6397151,
type_class*,       83, 164377, 721, 11606831, 28, 11846285,
trait_bounds*,      106, 152777, 667, 6049821, 14, 6287511,
type_class*,       83, 157676, 727, 11518064, 28, 11749318,
trait_bounds*,      106, 167102, 694, 6069593, 14, 6323497,
type_class*,       83, 153877, 725, 11545027, 28, 11774484,
