name, loc, std_item_detection, translation, verification, vcs, total,
mut_mem_replace,       60, 155033, 575, 5866245, 26, 6106377,
mut_old,       20, 169696, 430, 3916946, 3, 4144195,
mut_params,        8, 175106, 313, 3238732, 0, 3438793,
mut_ref_borrow_0,       11, 170602, 260, 3589077, 2, 3801168,
mut_ref_borrow_1,       12, 168654, 319, 3624431, 1, 3841693,
mut_ref_borrow_10,       10, 161580, 369, 3751814, 3, 3955913,
mut_ref_borrow_11,       16, 163452, 389, 3943858, 3, 4150063,
mut_ref_borrow_12,       51, 161628, 655, 5534493, 27, 5763402,
mut_ref_borrow_2,       13, 165917, 307, 3651792, 1, 3866874,
mut_ref_borrow_3,       14, 167455, 351, 3688511, 1, 3908006,
mut_ref_borrow_5,       23, 167160, 376, 3898281, 3, 4124506,
mut_ref_borrow_6,       26, 164199, 430, 3570128, 0, 3776023,
mut_ref_borrow_7,       31, 161640, 526, 4087800, 3, 4315781,
mut_ref_borrow_8,       18, 171965, 356, 3836902, 3, 4049419,
mut_ref_borrow_9,       17, 173322, 353, 3809179, 3, 4023661,
mut_ref_clone,       12, 154554, 291, 3593546, 1, 3816157,
mut_ref_immut_borrow,       33, 168406, 351, 3874069, 5, 4091203,
mut_ref_tuple,        9, 173822, 286, 3648689, 1, 3862555,
mut_return,       51, 156362, 583, 4411929, 14, 4633687,
mut_tuple,        8, 173397, 273, 3665465, 1, 3864054,
nested_spec,       16, 182438, 287, 3622946, 2, 3838006,
nested_spec_impl,       20, 167469, 384, 3637919, 2, 3859682,
panic_type,       33, 154737, 491, 4314668, 15, 4544618,
phantom_data,       22, 152492, 391, 3691279, 2, 3903703,
return_stmt,       65, 163534, 498, 5946154, 17, 6180946,
set_ops,       20, 156676, 336, 3548261, 2, 3784323,
spec_on_trait_impl,       22, 179463, 392, 4347181, 3, 4573035,
strings,       39, 159127, 450, 3786933, 4, 3995553,
struct_update,       23, 174898, 285, 3691306, 1, 3895599,
tuple_match,       12, 172154, 274, 3753485, 2, 3966388,
tuple_result,        9, 160396, 316, 3792387, 4, 3997731,
tuples,       44, 173828, 596, 4018579, 5, 4244841,
type_class_call_specs,       18, 178944, 382, 3761580, 2, 3972140,
type_class_multi_lookup,       59, 165071, 557, 5079373, 8, 5302302,
type_class_specs,       28, 177417, 594, 4433663, 5, 4646565,
type_class_without_evidence,       27, 164225, 368, 4395366, 2, 4611729,
use_local,       19, 180180, 490, 4712634, 6, 4933584,
use_std,        9, 176994, 201, 3080809, 0, 3281457,
adt_use_before_declare,       13, 166188, 290, 3247575, 0, 3459674,
adts,       90, 164868, 649, 4097223, 3, 4310924,
blocks,       27, 179279, 298, 3577917, 2, 3790577,
boxes,        9, 159719, 233, 3382730, 1, 3598279,
cast_correctness,       43, 158391, 570, 4579759, 13, 4820512,
clone,       37, 156210, 268, 3610038, 1, 3833877,
double_ref_param,       24, 161095, 362, 3881685, 5, 4093879,
external_fn,       22, 172088, 367, 3672209, 2, 3880018,
fact,       14, 182231, 267, 4292462, 3, 4510670,
fn_ref_param,       24, 164476, 365, 3833078, 5, 4048160,
generic_id,        9, 178694, 241, 3157737, 0, 3361465,
generic_option,       37, 179526, 466, 4024482, 10, 4233653,
generic_result,       31, 164051, 369, 4039046, 8, 4258069,
impl_fns,       37, 166215, 430, 3893850, 5, 4122296,
impl_mut_spec,       19, 178619, 351, 3740905, 1, 3953555,
implies,        9, 174773, 296, 3464311, 1, 3670008,
insertion_sort,      111, 153852, 845, 5853314, 42, 6125780,
int_operators,      189, 171179, 987, 10002120, 70, 10245852,
int_option,       30, 166075, 358, 3715600, 1, 3930381,
let_type,       19, 156411, 314, 3692957, 2, 3910587,
list_binary_search,       93, 157563, 741, 6537757, 23, 6785728,
map_ops,       40, 155818, 597, 5042822, 31, 5300575,
monoid,       49, 177532, 456, 6513091, 9, 6724170,
mut_clone,       11, 154716, 257, 3623923, 1, 3845913,
mut_local_fields,       55, 173201, 506, 4236822, 6, 4444845,
mut_local_lets,       29, 153501, 362, 3782669, 2, 4004806,
mut_local_params,       26, 175339, 402, 3794599, 3, 4017121,
mut_mem_replace,       60, 155988, 631, 5817973, 26, 6058052,
mut_old,       20, 163093, 350, 3921572, 3, 4141470,
mut_params,        8, 173184, 241, 3261513, 0, 3462461,
mut_ref_borrow_0,       11, 168751, 240, 3589549, 2, 3798230,
mut_ref_borrow_1,       12, 166886, 313, 3655369, 1, 3873813,
mut_ref_borrow_10,       10, 161168, 344, 3778906, 3, 3981012,
mut_ref_borrow_11,       16, 168030, 404, 3925131, 3, 4135647,
mut_ref_borrow_12,       51, 155927, 760, 5562989, 27, 5785053,
mut_ref_borrow_2,       13, 165750, 288, 3659120, 1, 3873744,
mut_ref_borrow_3,       14, 164158, 384, 3674108, 1, 3887809,
mut_ref_borrow_5,       23, 164656, 437, 3942396, 3, 4162265,
mut_ref_borrow_6,       26, 163637, 430, 3379631, 0, 3584276,
mut_ref_borrow_7,       31, 158772, 418, 4073280, 3, 4295790,
mut_ref_borrow_8,       18, 172541, 338, 3806943, 3, 4019360,
mut_ref_borrow_9,       17, 170965, 366, 3841921, 3, 4053659,
mut_ref_clone,       12, 154733, 261, 3612289, 1, 3834574,
mut_ref_immut_borrow,       33, 165818, 324, 3857832, 5, 4073095,
mut_ref_tuple,        9, 172691, 257, 3688748, 1, 3901405,
mut_return,       51, 152875, 652, 4387735, 14, 4604525,
mut_tuple,        8, 180650, 253, 3645197, 1, 3850993,
nested_spec,       16, 173718, 287, 3570807, 2, 3776832,
nested_spec_impl,       20, 165172, 384, 3626467, 2, 3847759,
panic_type,       33, 152348, 525, 4319485, 15, 4550210,
phantom_data,       22, 158610, 338, 3668315, 2, 3887175,
return_stmt,       65, 162871, 551, 5973137, 17, 6205565,
set_ops,       20, 156617, 293, 3526297, 2, 3761934,
spec_on_trait_impl,       22, 173862, 396, 4384909, 3, 4591097,
strings,       39, 160861, 446, 3757638, 4, 3968848,
struct_update,       23, 174178, 299, 3673998, 1, 3877861,
tuple_match,       12, 170571, 298, 3730108, 2, 3941724,
tuple_result,        9, 163260, 379, 3809662, 4, 4014079,
tuples,       44, 175920, 467, 4022446, 5, 4251875,
type_class_call_specs,       18, 175181, 354, 3771442, 2, 3979262,
type_class_multi_lookup,       59, 164406, 521, 5070197, 8, 5291474,
type_class_specs,       28, 176145, 406, 4456477, 5, 4668160,
type_class_without_evidence,       27, 168724, 356, 4455716, 2, 4675494,
use_local,       19, 176309, 558, 4811394, 6, 5028044,
use_std,        9, 178294, 204, 3116462, 0, 3317588,
adt_use_before_declare,       13, 165252, 249, 3268995, 0, 3480839,
adts,       90, 168856, 513, 4109669, 3, 4329660,
blocks,       27, 176871, 465, 3536910, 2, 3746629,
boxes,        9, 160239, 230, 3405120, 1, 3620936,
cast_correctness,       43, 157924, 656, 4561487, 13, 4804300,
clone,       37, 155254, 485, 4014937, 2, 4252889,
double_ref_param,       24, 178953, 347, 3888711, 5, 4117492,
external_fn,       22, 173448, 555, 3693853, 2, 3903366,
fact,       14, 182278, 273, 4344643, 3, 4563338,
fn_ref_param,       24, 169953, 359, 3868173, 5, 4089098,
generic_id,        9, 177398, 261, 3167449, 0, 3369103,
generic_option,       37, 175424, 420, 4021514, 10, 4228195,
generic_result,       31, 167951, 403, 4070845, 8, 4292171,
impl_fns,       37, 166345, 450, 3895324, 5, 4121236,
impl_mut_spec,       19, 175014, 385, 3753939, 1, 3962686,
implies,        9, 175700, 257, 3453554, 1, 3660586,
